There,are,two,end,users,namely,the,hotel,staff,(customer,service,representative),and,hotel,managers.,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,store,the,availability,of,hostel,and,room,details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,NN,DT,NN,IN,NN,CC,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,AS,,ES,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,maintains,attendance,details,of,all,the,students..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,NN,NNS,IN,PDT,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,details,include,student,name,roll,no,address,branch,year,and,room,no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,NNS,VBP,NN,VB,DT,JJ,NN,NN,CC,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,EM,EM,EM,EM,,ES,,ES,,ES,ES,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,
Manager,can,view,the,details,of,all,the,students,by,their,roll,no,and,can,also,update,them.,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,NNS,IN,PDT,DT,NNS,IN,PRP$,NN,RB,CC,MD,RB,VB,NN,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,,,,ES,,,AM,AM,,,,RS,,,,,,,,,,,,,,,,,,,,,,,,
In,attendance,detail,up,to,date,attendance,of,each,student,is,maintained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,NN,NN,RB,TO,NN,NN,IN,DT,NN,VBZ,VBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,ES,,,,AS,,,ES,,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin,checks,the,room,availability,in,the,hostel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,NNS,DT,NN,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,displays,a,list,of,available,rooms,and,free,rooms',detail.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,NNS,DT,NN,IN,JJ,NNS,CC,JJ,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,,,EM,EM,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,can,enter,the,room,no,to,view,the,details.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,NN,RB,TO,VB,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,ES,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin,enters,mess,item,expenditure,per,month,for,veg,and,non,veg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,NN,NN,NN,IN,NN,IN,NN,CC,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,EM,EM,EM,,,,AS,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,calculates,mess,expenditure,details,of,each,student,and,displays,the,report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,NN,NN,NNS,IN,DT,NN,CC,VBZ,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,EM,EM,,,,,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,member,can,be,either,the,student,or,the,staff,of,the,university,who,will,be,accessing,the,library,online.,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,CC,DT,NN,CC,DT,NN,IN,DT,NN,WP,MD,VB,VBG,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,
,GS,,,,,ES,,,ES,,,ES,,,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,
The,librarian,can,issue,a,book,to,the,member.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,TO,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,ES,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library,has,books,of,various,categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,NNS,IN,JJ,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,ES,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,details,include,title,,author,,no,of,copies,and,ISBN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNS,VBP,NN,NN,NN,IN,NNS,CC,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,AS,,AS,,AM,AM,AM,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,librarian,can,view,the,different,categories,of,books,available,in,the,library.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,JJ,NNS,IN,NNS,JJ,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,AS,,ES,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,librarian,can,view,the,list,of,books,available,in,each,category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,IN,NNS,JJ,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,,ES,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,librarian,can,take,the,book,returned,from,the,members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,VBN,IN,DT,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,ES,AS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,librarian,can,add,books,and,their,information,to,the,database.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NNS,CC,PRP$,NN,TO,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Librarian,can,edit,the,information,of,existing,books.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,NN,IN,VBG,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Librarian,can,check,the,report,of,issued,books.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,NN,IN,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,ES,RS,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Members,own,an,account,in,the,library.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,VBP,DT,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,ES,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Members,can,view,the,list,of,books,available,in,each,category.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,DT,NN,IN,NNS,JJ,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,,ES,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Members,can,issue,at,most,3,books,at,a,time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,IN,JJS,CD,NNS,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,,ES,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Members,can,view,the,books,issued,to,them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,DT,NNS,VBN,TO,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Members,can,put,a,request,for,a,new,book.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,DT,NN,IN,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,RS,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Members,can,search,for,a,particular,book,using,ISBN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,IN,DT,JJ,NN,VBG,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,,ES,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Members,have,to,return,the,issued,books,within,specified,time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,VBP,TO,VB,DT,JJ,NNS,IN,VBN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,,EM,EM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,members',details,can,be,fetched,by,the,librarian,as,and,when,required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,JJ,NNS,MD,VB,VBN,IN,DT,NN,IN,CC,WRB,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registered,members,can,sign,in,with,username,and,password.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNS,MD,VB,RP,IN,NN,CC,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,RS,EM,EM,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member,details,include,name,phone,no,address,branch,identification,no.,his,account.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNS,VBP,NN,JJ,NN,NN,NN,JJ,NN,PRP$,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,AS,,AM,AM,,AS,,AS,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library,assigns,fine,to,members,who,skip,the,date,of,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,JJ,TO,NNS,WP,VB,DT,NN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,ES,RS,ES,,,,AM,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,should,secure,registration,and,profile,management,facilities,for,Customers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,CC,NN,NN,NNS,IN,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EM,EM,EM,EM,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,consists,of,many,departments,with,different,categoris,of,product/,that,exceed,the,limit,provided,by,the,library,policy.,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,IN,JJ,NNS,IN,JJ,NNS,IN,NNP,WDT,VBP,DT,NN,VBN,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,,ES,,,AM,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There,are,different,,category,of,products,like,Apparel,Kitchen,accessories,Bath,accessories,Food,items,etc.,,,,,,,,,,,,,,,,,,,,,,,,,
EX,VBP,JJ,JJ,NN,IN,NNS,IN,NNP,NNP,NNP,NNP,NNS,NN,VB,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EM,EM,EM,,AS,AM,AM,AM,AM,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,
System,creates,a,Shopping,cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,DT,NNP,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,application,notifies,the,administrator,of,all,shop,creation,requests,and,the,administrator,can,then,approve,or,reject,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,DT,NN,IN,DT,NN,NN,NN,CC,DT,NN,MD,RB,CC,VB,NN,,,,,,,,,,,,,,,,,,,,,,,
,ES,RS,,ES,,,AM,AM,AM,,,ES,,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,
The,administrator,also,manages,the,list,of,available,product,categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,RB,VBZ,DT,NN,IN,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,administrator,can,also,view,and,delete,entries,in,the,guestbook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,RB,VB,CC,VB,NNS,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,RM,,RM,RM,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,administrator,manages,employee,as,well,as,customer,database.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,NN,RB,RB,IN,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,RS,ES,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,administrator,is,responsible,for,making,advertisment,of,the,site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,JJ,RB,VBG,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,RS,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any,user,can,submit,a,shop,creation,request,through,the,application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,NN,NN,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,EM,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,Shop,Owner,is,responsible,for,setting,up,the,shop,and,maintaining,it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNP,NNP,VBZ,JJ,IN,VBG,RP,DT,NN,CC,VBG,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,,,RM,,,ES,,RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,Shop,owner,manages,the,sub-categories,of,the,items,in,the,shop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNP,NN,VBZ,DT,NNS,IN,DT,NNS,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,RS,,AS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,shop,owner,can,add,or,remove,items,from,his,shop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,NN,MD,VB,CC,VB,NNS,IN,PRP$,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,RM,,RM,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,Shop,Owner,can,view,different,reports,that,give,details,of,the,sales,and,orders,specific,to,his,shop.,,,,,,,,,,,,,,,,,,,,,,
DT,NNP,NNP,MD,VB,JJ,NNS,WDT,VBP,NNS,IN,DT,NNS,CC,NNS,NN,TO,PRP$,NN,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,Shop,Owner,can,also,decide,to,close,shop,and,remove,it,from,the,mall.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNP,NNP,MD,RB,VB,TO,VB,NN,CC,VB,PRP,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,,,,RM,ES,,RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shop,owner,can,advertise,for,his,products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NN,MD,VB,IN,PRP$,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shop,owner,makes,a,sales,report,in,regular,intervals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NN,VBZ,DT,NNS,NN,IN,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,RS,,EM,EM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Mall,Customer,can,browse,through,the,shops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,NN,MD,VB,IN,DT,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,can,choose,products,to,place,in,a,virtual,shopping,cart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,MD,VB,NNS,TO,VB,IN,DT,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,ES,,RS,,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,shopping,cart,details,can,be,viewed,and,items,can,be,removed,from,the,cart.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBP,NNS,MD,VB,VBN,CC,NNS,MD,VB,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,,,RS,,,,,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To,proceed,with,the,purchase,,the,customer,is,prompted,to,login.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO,VB,IN,DT,NN,DT,NN,VBZ,VBN,TO,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ES,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,customer,can,modify,personal,profile,information,(such,as,phone,number,and,shipping,address),stored,by,the,application.,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,NN,NN,NN,IN,NN,NN,CC,NN,NNS,VBD,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,EM,EM,,,,AM,AM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,customer,can,also,view,the,status,of,any,previous,orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,RB,VB,DT,NN,IN,DT,JJ,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,RS,,ES,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,customer,can,cancel,any,order,that,has,not,been,shipped,yet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,WDT,VBZ,RB,VBN,VBN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RD,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,can,also,give,feedback,to,the,shops.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,MD,RB,VB,NN,TO,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,ES,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,can,also,view,current,order,status.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,MD,RB,VB,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,EM,EM,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There,are,different,departments,in,the,system,such,as,Purchase,department,Sales,department,and,Accounts,department.,,,,,,,,,,,,,,,,,,,,,,,,,
EX,VBP,JJ,NNS,IN,DT,NN,JJ,IN,NNP,NN,JJ,NN,CC,NNPS,NNP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GS,,,,,,EM,EM,EM,EM,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,
Each,department,has,a,manager.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase,manager,takes,permission,from,the,Administrator,for,the,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,NN,VBZ,NN,IN,DT,NNP,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,RS,ES,,,,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase,manager,is,responsible,for,managing,stocks,of,each,product,to,be,purchased,from,vendor.,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,NN,VBZ,JJ,IN,VBG,NNS,IN,DT,NN,TO,VB,VBN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,,,RM,RM,,,ES,,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,manager,,will,look,after,the,sale,of,products,items.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,NN,NNS,MD,VB,IN,DT,NN,IN,NNS,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,,RS,,,ES,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,manager,views,the,personal,details,of,the,customer,and,services,,the,most,important,activity.,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,NN,NNS,DT,JJ,NNS,IN,DT,NN,CC,VB,DT,RBS,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
